vowel_cluster,a,c,ch,e,ê,i,m,n,ng,nh,o,ơ,p,t,u,y,k
a,,x,x,,,x,x,x,x,x,x,,x,x,x,x,
ă,,x,,,,,x,x,x,,,,x,x,,,x
â,,x,,,,,x,x,x,,,,x,x,x,x,
e,,,,,,,x,x,x,,x,,x,x,,,
ê,,,x,,,,x,x,,x,,,x,x,x,,
i,x,,x,,,,x,x,,x,,,x,x,x,,
o,x,x,,x,,x,x,x,x,,,,x,x,,,
ô,,x,,,,x,x,x,x,,,,x,x,,,
ơ,,,,,,x,x,x,,,,,x,x,,,
u,x,x,,,x,x,x,x,x,,,x,x,x,,x,
ư,x,x,,,,x,,,x,,,,,x,x,,
y,,,,,,,,,,,,,,x,,,
iê,,x,,,,,x,x,x,,,,x,x,x,,
oa,,x,x,,,x,,x,x,x,,,,x,,x,
oă,,x,,,,,x,x,x,,,,,x,,,
oe,,,,,,,,x,,,,,,x,,,
oo,,x,,,,,,,x,,,,,,,,
ôô,,,,,,,,,x,,,,,,,,
uâ,,,,,,,,x,x,,,,,,,,
uê,,,x,,,,,,,,,,,,,,
uô,,,,,,,,x,x,,,,x,x,,,
uơ,,,,,,,,,,,,,,,,,
uy,x,,,,x,,,,,x,,,x,x,,,
ươ,,,,,,,,,,,,,,,,,
yê,,,,,,,,x,,,,,,,x,,
uyê,,,,,,,,x,,,,,,,,,
